Wall time,Step,Value
1497898650.0880206,1,0.8650710582733154
1497898672.9724112,2,0.568379819393158
1497898695.2823794,3,0.6134891510009766
1497898719.6315668,4,0.15241917967796326
1497898744.0953808,5,0.09980027377605438
1497898768.2419906,6,0.04793873801827431
1497898791.6120028,7,0.030938196927309036
1497898815.304536,8,0.6823756694793701
1497898837.8529782,9,0.6050965189933777
1497898861.9061553,10,0.1446281224489212
1497898885.487758,11,0.051614321768283844
1497898908.3352578,12,0.027975421398878098
1497898932.5324671,13,0.01837274432182312
1497898955.7011175,14,0.017138099297881126
1497898979.349882,15,0.017267761752009392
1497899002.1319408,16,0.014380786567926407
1497899025.7352693,17,0.014949869364500046
1497899048.315685,18,0.011201337911188602
1497899070.5279462,19,0.013022232800722122
1497899092.961556,20,0.011931744404137135
1497899116.0730789,21,0.009202162735164165
1497899138.4283636,22,0.009318728931248188
1497899161.1760201,23,0.008029303513467312
1497899184.3641822,24,0.008610139600932598
1497899207.5147507,25,0.008853298611938953
1497899230.7720594,26,0.006257344037294388
1497899254.8259647,27,0.009893186390399933
1497899276.884536,28,0.008339381776750088
1497899298.7319767,29,0.00878813024610281
1497899321.7205365,30,0.0076834410429000854
1497899343.4764593,31,0.006840195506811142
1497899366.025752,32,0.005395874381065369
1497899389.4730897,33,0.005513178184628487
1497899413.7190986,34,0.006060986313968897
1497899438.3345733,35,0.005432316102087498
1497899461.333831,36,0.00503245135769248
1497899484.8753412,37,0.005828584544360638
1497899508.7328331,38,0.004620788618922234
1497899533.2790515,39,0.004629881586879492
1497899556.4182239,40,0.005025179591029882
1497899579.218587,41,0.003859235905110836
1497899602.5152364,42,0.0046921526081860065
1497899626.6370595,43,0.004768902435898781
1497899650.2486718,44,0.005086451303213835
1497899675.452954,45,0.0038197836838662624
1497899698.1380694,46,0.0048231091350317
1497899723.3094091,47,0.0031816617120057344
1497899746.9730766,48,0.0031538293696939945
1497899771.2126527,49,0.003689571050927043
1497899794.3705828,50,0.00357117410749197
