Wall time,Step,Value
1497905780.0488565,1,0.8647398948669434
1497905808.0261106,2,0.7798053622245789
1497905836.572532,3,0.5299360156059265
1497905864.508694,4,0.18786683678627014
1497905893.1296225,5,0.1467626541852951
1497905921.6652606,6,0.15390567481517792
1497905949.8089287,7,0.07381467521190643
1497905977.817711,8,0.032552968710660934
1497906006.0106442,9,0.08748333901166916
1497906034.6752963,10,0.06893254816532135
1497906062.8851006,11,0.05943693965673447
1497906091.2197933,12,0.06629660725593567
1497906119.2754056,13,0.013149143196642399
1497906147.4855766,14,0.009495416656136513
1497906175.5110967,15,0.004700708203017712
1497906203.553446,16,0.0035672374069690704
1497906231.7164838,17,0.0027808856684714556
1497906259.7594733,18,0.002508603734895587
1497906288.4050107,19,0.002039508195593953
1497906317.684828,20,0.0019121746299788356
1497906345.97371,21,0.0016945441020652652
1497906375.6921558,22,0.0015428309561684728
1497906408.196648,23,0.0014059499371796846
1497906443.6655042,24,0.0013303653104230762
1497906479.8184688,25,0.0011827729176729918
1497906514.9948955,26,0.00108176504727453
1497906550.033416,27,0.000999561045318842
1497906580.764578,28,0.0009585311054252088
1497906614.7951748,29,0.0008756213937886059
1497906647.8855615,30,0.0008145722676999867
