Wall time,Step,Value
1497898650.0879104,1,0.4353157579898834
1497898672.9723003,2,0.36437055468559265
1497898695.28227,3,0.04476766288280487
1497898719.631452,4,0.023794829845428467
1497898744.0952713,5,0.05183204263448715
1497898768.241881,6,0.005976931191980839
1497898791.6118934,7,0.006347299087792635
1497898815.3044271,8,0.0038556354120373726
1497898837.8528683,9,0.002635365817695856
1497898861.9060457,10,0.0020867709536105394
1497898885.4876473,11,0.0024464083835482597
1497898908.335148,12,0.0030335502233356237
1497898932.5323577,13,0.004813931882381439
1497898955.7010083,14,0.002779261441901326
1497898979.349773,15,0.0024614958092570305
1497899002.1318316,16,0.003467603586614132
1497899025.7351606,17,0.0022970375139266253
1497899048.3155746,18,0.0032358309254050255
1497899070.5278373,19,0.003992809914052486
1497899092.961446,20,0.0032605170272290707
1497899116.0729692,21,0.002981490921229124
1497899138.4282534,22,0.0036308616399765015
1497899161.1759102,23,0.0017777351895347238
1497899184.3640726,24,0.003258603159338236
1497899207.514642,25,0.0014671982498839498
1497899230.7719495,26,0.004803931340575218
1497899254.8258545,27,0.0022883391939103603
1497899276.8844264,28,0.0016730396309867501
1497899298.7318668,29,0.002646543551236391
1497899321.7204266,30,0.003992806654423475
1497899343.47635,31,0.002717164810746908
1497899366.0256429,32,0.007099368143826723
1497899389.4729807,33,0.002397306729108095
1497899413.7189887,34,0.0025442999321967363
1497899438.3344636,35,0.002002600347623229
1497899461.3337219,36,0.012886559590697289
1497899484.8752322,37,0.004517850466072559
1497899508.7327237,38,0.0017885155975818634
1497899533.2789426,39,0.00577359227463603
1497899556.4181142,40,0.0026261424645781517
1497899579.2184777,41,0.005241262260824442
1497899602.515126,42,0.001722079934552312
1497899626.6369507,43,0.0016872675623744726
1497899650.2485619,44,0.0027536777779459953
1497899675.4528422,45,0.005060473922640085
1497899698.1379602,46,0.0014390012947842479
1497899723.3093004,47,0.004521387163549662
1497899746.9729671,48,0.0027449876070022583
1497899771.2125425,49,0.0017971675843000412
1497899794.3704727,50,0.0023000307846814394
