Wall time,Step,Value
1497905780.0491266,1,0.8641848564147949
1497905808.0263798,2,0.74018794298172
1497905836.5728037,3,0.4737061858177185
1497905864.5089595,4,0.17143583297729492
1497905893.1298985,5,0.08984445035457611
1497905921.6655328,6,0.21093538403511047
1497905949.8091972,7,0.07076503336429596
1497905977.8179846,8,0.08775030076503754
1497906006.0109127,9,0.18237075209617615
1497906034.6755872,10,0.28761056065559387
1497906062.8853703,11,0.08348395675420761
1497906091.220066,12,0.13117164373397827
1497906119.2756999,13,0.013487881049513817
1497906147.4858456,14,0.023748651146888733
1497906175.5113711,15,0.008666282519698143
1497906203.5537133,16,0.0119096077978611
1497906231.7167528,17,0.005314490757882595
1497906259.7597437,18,0.012552243657410145
1497906288.4052854,19,0.01384982280433178
1497906317.6850991,20,0.017633015289902687
1497906345.9739778,21,0.016361506655812263
1497906375.6924245,22,0.05018123611807823
1497906408.1969166,23,0.041116032749414444
1497906443.6657715,24,0.030782876536250114
1497906479.8187385,25,0.04913591593503952
1497906514.9951637,26,0.038905274122953415
1497906550.0336843,27,0.037126559764146805
1497906580.7648468,28,0.07146057486534119
1497906614.7954614,29,0.04943074658513069
1497906647.8858306,30,0.053756535053253174
