Wall time,Step,Value
1497905780.0490153,1,0.8622118234634399
1497905808.026265,2,0.7737406492233276
1497905836.5726924,3,0.5052714943885803
1497905864.508845,4,0.13551047444343567
1497905893.129776,5,0.1304127722978592
1497905921.6654181,6,0.26474955677986145
1497905949.8090827,7,0.10706270486116409
1497905977.8178692,8,0.06866848468780518
1497906006.0107982,9,0.16212108731269836
1497906034.6754699,10,0.21465924382209778
1497906062.8852546,11,0.04389353469014168
1497906091.2199504,12,0.1843416839838028
1497906119.275585,13,0.01333767268806696
1497906147.4857306,14,0.011421634815633297
1497906175.5112555,15,0.006266429554671049
1497906203.5535989,16,0.008180014789104462
1497906231.7166376,17,0.0037053392734378576
1497906259.7596288,18,0.004017078783363104
1497906288.4051704,19,0.0033169141970574856
1497906317.6849837,20,0.0034786362666636705
1497906345.9738636,21,0.0026741069741547108
1497906375.6923094,22,0.0027840761467814445
1497906408.1968012,23,0.0031075726728886366
1497906443.6656568,24,0.0022144103422760963
1497906479.8186245,25,0.0028414586558938026
1497906514.9950478,26,0.0019502448849380016
1497906550.0335696,27,0.0025914362631738186
1497906580.764732,28,0.004261960741132498
1497906614.7953293,29,0.0021057045087218285
1497906647.8857157,30,0.0019980818033218384
